,n2n,p2n,n2p,p2p,Model
0,21,34,9,239,SVC
1,10,23,20,250,Random Forest
2,22,50,8,223,Naive Bayes
3,20,34,10,239,Logistic Regression
4,9,32,21,241,Decision Tree
0,43,33,18,209,SVC
1,18,23,43,219,Random Forest
2,44,40,17,202,Naive Bayes
3,45,36,16,206,Logistic Regression
4,14,30,47,212,Decision Tree
0,56,52,35,160,SVC
1,31,30,60,182,Random Forest
2,45,69,46,143,Naive Bayes
3,55,51,36,161,Logistic Regression
4,17,33,74,179,Decision Tree
0,75,32,47,149,SVC
1,36,19,86,162,Random Forest
2,84,42,38,139,Naive Bayes
3,77,43,45,138,Logistic Regression
4,30,21,92,160,Decision Tree
0,46,56,106,95,SVC
1,34,38,118,113,Random Forest
2,78,67,74,84,Naive Bayes
3,68,65,84,86,Logistic Regression
4,35,27,117,124,Decision Tree
